certificate,runtime,genre,imdb_rating,meta_score,no_of_votes,gross,director_category,star1_category,star2_category,star3_category,star4_category,decade
all public,154,Drama,8.1,83.0,223741,5383834.0,high,low,average,low,low,2000's
all public,92,Other,8.1,79.0,815505,289916256.0,average,low,average,low,low,2000's
all public,224,Action/Adventure,8.1,84.0,105036,70147.0,low,average,low,low,low,2000's
all public,107,Drama,8.1,64.0,911573,293506292.0,low,high,low,average,low,1990's
all public,169,Drama,8.1,58.0,59020,259127.0,average,low,low,low,low,1990's
all public,103,Comedy,8.1,90.0,939631,125618201.0,average,average,high,low,low,1990's
over 18,127,Comedy,8.1,73.0,50862,348660.0,low,low,low,low,low,1990's
over 18,117,Comedy,8.1,71.0,732620,17498804.0,high,high,average,high,average,1990's
all public,98,Drama,8.1,85.0,124383,2734044.0,average,low,low,low,low,2000's
all public,93,Drama,8.1,83.0,634716,16501785.0,average,average,low,low,low,1990's
all public,98,Thriller/Crime/Mystery,8.1,85.0,617444,24611975.0,high,high,low,average,low,1990's
over 18,101,Drama,8.1,77.0,272291,5535405.0,high,high,high,low,low,1990's
all public,99,Drama,8.1,100.0,90729,4043686.0,high,average,low,low,low,1990's
all public,102,Comedy,8.1,77.0,63122,600200.0,average,low,low,average,low,1990's
family,127,Action/Adventure,8.1,68.0,867615,402453882.0,high,average,low,low,low,1990's
family,133,Drama,8.1,84.0,156842,25010410.0,average,high,low,low,low,1990's
all public,128,Comedy,8.1,79.0,425457,95860116.0,average,average,low,average,low,1980's
all public,89,Action/Adventure,8.1,75.0,363401,52287414.0,high,low,low,low,low,1980's
all public,120,Drama,8.1,92.0,381222,138530565.0,average,low,low,average,low,1980's
all public,145,Drama,8.1,78.0,91188,2181987.0,average,low,low,low,low,1980's
all public,117,Other,8.1,86.0,150924,495770.0,high,low,low,low,low,1980's
all public,109,Thriller/Crime/Mystery,8.1,57.0,371271,13782838.0,average,low,low,low,low,1980's
family,95,Drama,8.1,47.0,76081,22244207.0,average,low,low,low,low,1980's
all public,188,Drama,8.1,100.0,57784,4971340.0,low,low,low,low,low,1980's
family,117,Action/Adventure,8.1,84.0,693827,32868943.0,high,high,low,low,low,1980's
over 18,94,Comedy,8.1,77.0,367250,20045115.0,low,low,low,low,low,1970's
all public,183,Drama,8.1,86.0,311361,48979328.0,low,high,average,low,low,1970's
all public,120,Drama,8.1,70.0,518546,117235247.0,low,average,low,low,low,1970's
family,130,Drama,8.1,92.0,294230,29000000.0,average,high,low,low,low,1970's
all public,102,Comedy,8.1,77.0,42285,30933743.0,average,low,low,low,low,1970's
all public,127,Thriller/Crime/Mystery,8.1,92.0,161984,16217773.0,low,high,low,low,low,1960's
family,134,Drama,8.1,75.0,50058,4050000.0,low,average,low,low,low,1960's
all public,212,Action/Adventure,8.1,90.0,219466,74700000.0,average,average,low,low,low,1950's
family,161,Action/Adventure,8.1,87.0,203463,44908000.0,average,average,average,low,low,1950's
all public,108,Thriller/Crime/Mystery,8.1,91.0,142107,9600000.0,average,average,average,low,average,1950's
all public,111,Drama,8.1,72.0,31568,3969893.0,high,average,low,low,low,1950's
all public,104,Other,8.1,97.0,158731,449191.0,low,average,average,low,low,1940's
all public,130,Drama,8.1,86.0,123942,4360000.0,high,low,low,average,low,1940's
family,129,Comedy,8.1,73.0,107017,9600000.0,average,average,low,average,low,1930's
all public,238,Drama,8.1,97.0,290074,198676459.0,average,average,low,low,low,1930's
all public,105,Comedy,8.1,87.0,94016,4360000.0,average,low,low,low,low,1930's
all public,128,Comedy,8.0,94.0,505918,151101803.0,average,average,average,low,low,2010's
all public,118,Drama,8.0,69.0,213970,51739495.0,low,low,low,low,low,2010's
family,144,Action/Adventure,8.0,80.0,760094,228433663.0,high,high,low,low,low,2010's
all public,108,Other,8.0,78.0,434143,341268248.0,low,low,low,average,low,2010's
all public,137,Other,8.0,89.0,38746,1506975.0,average,low,low,low,low,2010's
all public,113,Drama,8.0,66.0,141923,132422809.0,average,low,low,low,low,2010's
family,154,Drama,8.0,65.0,31886,5566534.0,low,low,low,low,low,2010's
over 18,96,Drama,8.0,82.0,81770,1010414.0,low,average,low,low,low,2010's
all public,150,Action/Adventure,8.0,71.0,114316,2625803.0,average,average,low,low,low,2010's
family,114,Drama,8.0,73.0,685201,91125683.0,low,low,low,low,low,2010's
family,121,Action/Adventure,8.0,76.0,1043455,333176600.0,average,average,low,low,low,2010's
family,164,Action/Adventure,8.0,81.0,461823,92054159.0,high,high,low,average,low,2010's
all public,126,Drama,8.0,90.0,540772,25568251.0,average,average,low,high,average,2010's
family,134,Drama,8.0,49.0,450349,216428042.0,average,low,low,low,low,2010's
all public,156,Action/Adventure,8.0,76.0,705589,183637894.0,high,high,average,low,average,2010's
family,103,Drama,8.0,67.0,462252,17738570.0,average,low,high,low,low,2010's
all public,118,Drama,8.0,88.0,639603,138797449.0,low,average,average,low,low,2010's
family,146,Drama,8.0,62.0,428521,169708112.0,low,low,low,low,average,2010's
over 18,108,Action/Adventure,8.0,65.0,902669,363070709.0,low,average,low,low,low,2010's
family,119,Drama,8.0,87.0,45803,106662.0,high,low,low,low,low,2000's
family,165,Drama,8.0,50.0,98575,4018695.0,low,average,low,low,low,2010's
family,120,Drama,8.0,84.0,798882,141319928.0,average,low,low,low,low,2000's
all public,108,Drama,8.0,79.0,699673,106954678.0,average,low,low,low,low,2010's
over 18,115,Action/Adventure,8.0,33.0,98097,8060.0,low,low,low,low,low,2000's
family,143,Action/Adventure,8.0,69.0,1260806,623279547.0,average,average,high,high,low,2010's
family,96,Other,8.0,90.0,88656,4445756.0,low,low,low,low,low,2000's
over 18,117,Drama,8.0,80.0,441614,27298285.0,low,average,low,average,low,2010's
all public,117,Drama,8.0,64.0,448930,163566459.0,average,average,low,low,low,2000's
all public,143,Action/Adventure,8.0,64.0,499439,57366262.0,average,high,low,high,low,2000's
family,115,Action/Adventure,8.0,85.0,604694,227471070.0,average,high,low,average,low,2000's
all public,88,Thriller/Crime/Mystery,8.0,72.0,50610,238507.0,average,low,low,low,low,2000's
all public,124,Thriller/Crime/Mystery,8.0,74.0,738512,74103820.0,low,low,low,low,average,2000's
family,112,Drama,8.0,92.0,103284,5990075.0,low,average,low,low,low,2000's
all public,111,Other,8.0,96.0,641645,206445654.0,high,low,low,low,low,2000's
family,144,Action/Adventure,8.0,80.0,582239,167445960.0,low,high,low,low,low,2000's
all public,137,Action/Adventure,8.0,83.0,683900,66208183.0,high,average,average,average,low,2000's
over 18,103,Drama,8.0,85.0,77520,2380788.0,average,low,low,low,low,2000's
